0: 0	754	0.000755
1: 1	521	0.001277
2: 0	766	0.002043
3: 1	443	0.002487
4: 0	791	0.003279
5: 1	444	0.003724
6: 0	769	0.004494
7: 1	467	0.004962
8: 0	757	0.005719
9: 1	479	0.006198
10: 0	735	0.006934
11: 1	501	0.007435
12: 0	734	0.008170
13: 1	501	0.008671
14: 0	766	0.009437
15: 1	444	0.009881
16: 0	759	0.010641
17: 1	478	0.011120
18: 0	736	0.011856
19: 1	499	0.012356
20: 0	735	0.013092
21: 1	475	0.013567
22: 0	739	0.014306
23: 1	496	0.014803
24: 0	738	0.015542
25: 1	472	0.016015
26: 0	710	0.016725
27: 1	526	0.017252
28: 0	740	0.017993
29: 1	469	0.018461
30: 0	766	0.019229
31: 1	468	0.019697
32: 0	788	0.020486
33: 1	448	0.020934
34: 0	744	0.021679
35: 1	492	0.022171
36: 0	743	0.022915
37: 1	466	0.023382
38: 0	705	0.024087
39: 1	530	0.024618
40: 0	736	0.025355
41: 1	475	0.025830
42: 0	760	0.026590
43: 1	475	0.027066
44: 0	760	0.027826
45: 1	476	0.028303
46: 0	812	0.029115
47: 1	530	0.029645
48: 0	789	0.030435
49: 1	500	0.030936
50: 0	767	0.031704
51: 1	520	0.032224
52: 0	788	0.033013
53: 1	500	0.033513
54: 0	767	0.034281
55: 1	523	0.034804
56: 0	786	0.035590
57: 1	503	0.036093
58: 0	764	0.036858
59: 1	523	0.037381
60: 0	765	0.038147
61: 1	526	0.038672
62: 0	793	0.039467
63: 1	494	0.039961
64: 0	794	0.040755
65: 1	469	0.041225
66: 0	808	0.042033
67: 1	481	0.042514
68: 0	786	0.043301
69: 1	502	0.043804
70: 0	732	0.044537
71: 1	554	0.045092
72: 0	765	0.045857
73: 1	526	0.046383
74: 0	794	0.047177
75: 1	494	0.047671
76: 0	764	0.048435
77: 1	524	0.048961
78: 0	762	0.049723
79: 1	528	0.050251
80: 0	791	0.051043
81: 1	497	0.051540
82: 0	791	0.052332
83: 1	498	0.052830
84: 0	768	0.053599
85: 1	519	0.054118
86: 0	769	0.054888
87: 1	493	0.055382
88: 0	795	0.056178
89: 1	493	0.056671
90: 0	783	0.057454
91: 1	507	0.057962
92: 0	815	0.058775
93: 1	472	0.059250
94: 0	739	0.059989
95: 1	549	0.060539
96: 0	738	0.061278
97: 1	551	0.061829
98: 0	768	0.062598
99: 1	521	0.063120
100: 0	767	0.063887
101: 1	521	0.064409
102: 0	767	0.065176
103: 1	495	0.065671
104: 0	814	0.066485
105: 1	477	0.066963
106: 0	789	0.067753
107: 1	499	0.068252
108: 0	791	0.069042
109: 1	498	0.069541
110: 0	788	0.070330
111: 1	498	0.070829
112: 0	789	0.071618
113: 1	501	0.072120
114: 0	734	0.072854
115: 1	554	0.073409
116: 0	765	0.074174
117: 1	524	0.074699
118: 0	785	0.075484
119: 1	504	0.075989
120: 0	784	0.076773
121: 1	503	0.077276
122: 0	764	0.078041
123: 1	502	0.078542
124: 0	765	0.079308
125: 1	494	0.079803
126: 0	814	0.080618
127: 1	475	0.081093
128: 0	782	0.081875
129: 1	510	0.082385
130: 0	735	0.083121
131: 1	552	0.083674
132: 0	788	0.084462
133: 1	500	0.084962
134: 0	788	0.085751
135: 1	500	0.086251
136: 0	766	0.087018
137: 1	523	0.087542
138: 0	786	0.088328
139: 1	503	0.088831
140: 0	784	0.089617
141: 1	502	0.090120
142: 0	764	0.090884
143: 1	523	0.091408
144: 0	764	0.092173
145: 1	499	0.092673
146: 0	809	0.093483
147: 1	478	0.093961
148: 0	789	0.094750
149: 1	501	0.095251
150: 0	777	0.096029
151: 1	511	0.096540
152: 0	777	0.097317
153: 1	511	0.097829
154: 0	788	0.098616
155: 1	502	0.099120
156: 0	763	0.099884
157: 1	525	0.100410
158: 0	762	0.101172
159: 1	526	0.101699
160: 0	793	0.102493
161: 1	494	0.102987
162: 0	762	0.103750
163: 1	528	0.104278
164: 0	760	0.105038
165: 1	502	0.105540
166: 0	839	0.106380
167: 1	450	0.106830
168: 0	816	0.107647
169: 1	471	0.108119
170: 0	839	0.108957
171: 1	476	0.109435
172: 0	736	0.110172
173: 1	553	0.110725
174: 0	766	0.111492
175: 1	521	0.112014
176: 0	766	0.112781
177: 1	523	0.113304
178: 0	786	0.114091
179: 1	528	0.114619
180: 0	739	0.115358
181: 1	523	0.115882
182: 0	796	0.116678
183: 1	468	0.117147
184: 0	788	0.117935
185: 1	500	0.118435
186: 0	788	0.119224
187: 1	500	0.119724
188: 0	788	0.120513
189: 1	501	0.121014
190: 0	786	0.121801
191: 1	501	0.122303
192: 0	733	0.123037
193: 1	557	0.123594
194: 0	731	0.124326
195: 1	557	0.124883
196: 0	794	0.125678
197: 1	495	0.126173
198: 0	792	0.126966
199: 1	495	0.127462
200: 0	760	0.128223
201: 1	532	0.128752
202: 0	788	0.129543
203: 1	471	0.130015
204: 0	795	0.130811
205: 1	492	0.131304
206: 0	817	0.132121
207: 1	472	0.132594
208: 0	784	0.133378
209: 1	504	0.133882
